id,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
0,Green Oaks,800000,3,2,2000,"Discover this eco-friendly haven situated in the heart of Green Oaks. This inviting 3-bedroom, 2-bathroom residence features energy-saving amenities including solar panels and excellent insulation. Sunlight illuminates the living areas, highlighting the attractive hardwood floors and environmentally-conscious finishes. The open-plan kitchen and dining space extend to a generous backyard with a vegetable garden, ideal for a family with a focus on sustainability. Experience stylish, eco-friendly living in this Green Oaks gem.","Green Oaks is a close-knit, eco-conscious neighborhood with access to organic grocery stores, community gardens, and cycling paths. Enjoy a walk in the nearby Green Oaks Park or visit the charming Green Bean Cafe for a coffee. With convenient access to public transportation and bike lanes, commuting is effortless."
1,Sunnyvale,950000,4,3,2500,"Located in the desirable neighborhood of Sunnyvale, this 4-bedroom, 3-bathroom home offers spacious living areas and a beautifully landscaped backyard. The modern kitchen features stainless steel appliances and granite countertops, perfect for entertaining guests. Relax in the luxurious master suite with a spa-like bathroom and walk-in closet. Enjoy the sunny California weather in the private backyard oasis with a patio and lush greenery.","Sunnyvale is known for its top-rated schools, vibrant downtown area, and easy access to major tech companies. Explore the nearby parks, farmers' markets, and trendy restaurants. With a strong sense of community and a variety of amenities, Sunnyvale is the perfect place to call home."
2,Downtown LA,1200000,2,2,1800,"Experience luxury living in the heart of Downtown LA with this stunning 2-bedroom, 2-bathroom condo. The open-concept floor plan boasts floor-to-ceiling windows, showcasing panoramic city views. The gourmet kitchen features high-end appliances and sleek finishes. Relax in the spa-like bathrooms with designer fixtures and a soaking tub. Enjoy the building's amenities, including a rooftop pool, fitness center, and 24-hour concierge service.","Downtown LA offers a vibrant urban lifestyle with world-class dining, entertainment, and cultural attractions. Explore the nearby museums, theaters, and art galleries. With easy access to public transportation and a bustling nightlife scene, Downtown LA is the perfect blend of luxury and convenience."
3,Brooklyn Heights,1500000,5,4,3000,"Situated in the historic neighborhood of Brooklyn Heights, this 5-bedroom, 4-bathroom brownstone offers classic charm and modern amenities. The spacious living areas feature original hardwood floors, high ceilings, and elegant moldings. The renovated kitchen boasts top-of-the-line appliances and custom cabinetry. Relax in the private backyard garden or on the rooftop terrace with stunning city views. Experience the best of Brooklyn living in this timeless home.","Brooklyn Heights is known for its tree-lined streets, historic brownstones, and waterfront promenade. Explore the neighborhood's boutiques, cafes, and cultural institutions. With easy access to Manhattan via the nearby subway stations, Brooklyn Heights offers a peaceful retreat from the hustle and bustle of the city."
4,Pacific Palisades,2500000,6,5,4000,"Live the California dream in this luxurious 6-bedroom, 5-bathroom estate in Pacific Palisades. The grand foyer leads to the formal living and dining rooms with high ceilings and custom finishes. The gourmet kitchen features a large island, high-end appliances, and a breakfast nook. Retreat to the master suite with a fireplace, spa-like bathroom, and private balcony. Entertain guests in the backyard oasis with a pool, spa, and outdoor kitchen.","Pacific Palisades offers a relaxed coastal lifestyle with stunning ocean views, hiking trails, and upscale shopping. Enjoy the nearby beaches, parks, and country clubs. With top-rated schools and a strong sense of community, Pacific Palisades is a sought-after neighborhood for families and celebrities alike."
5,South Beach,1800000,3,3,2200,"Experience waterfront living in the vibrant neighborhood of South Beach with this 3-bedroom, 3-bathroom condo. The open-concept floor plan features floor-to-ceiling windows, showcasing breathtaking bay views. The modern kitchen boasts sleek cabinetry, high-end appliances, and a breakfast bar. Relax in the luxurious master suite with a spa-like bathroom and walk-in closet. Enjoy the building's amenities, including a pool, fitness center, and 24-hour security.","South Beach is known for its trendy restaurants, nightlife, and sandy beaches. Explore the nearby art galleries, boutiques, and waterfront parks. With easy access to public transportation and a bustling social scene, South Beach offers a dynamic urban lifestyle with a touch of luxury."
6,Georgetown,1700000,4,4,2800,"Discover historic charm and modern luxury in this 4-bedroom, 4-bathroom townhouse in Georgetown. The elegant living spaces feature hardwood floors, crown moldings, and custom built-ins. The gourmet kitchen boasts high-end appliances, marble countertops, and a center island. Retreat to the master suite with a spa-like bathroom and walk-in closet. Enjoy the private patio and rooftop terrace with city views.","Georgetown is a picturesque neighborhood with cobblestone streets, historic architecture, and upscale boutiques. Explore the nearby waterfront park, museums, and restaurants. With easy access to downtown DC and a strong sense of community, Georgetown offers a sophisticated urban lifestyle with a touch of old-world charm."
7,Beverly Hills,3500000,7,6,5000,"Live in luxury in this 7-bedroom, 6-bathroom mansion in the prestigious neighborhood of Beverly Hills. The grand foyer leads to the formal living and dining rooms with high ceilings and custom finishes. The gourmet kitchen features top-of-the-line appliances, a large island, and a breakfast nook. Relax in the master suite with a fireplace, spa-like bathroom, and private balcony. Entertain guests in the backyard oasis with a pool, spa, and outdoor kitchen.","Beverly Hills is synonymous with luxury, offering upscale shopping, fine dining, and celebrity sightings. Explore the nearby Rodeo Drive, art galleries, and iconic landmarks. With top-rated schools and a glamorous lifestyle, Beverly Hills is a coveted address for those seeking the ultimate in sophistication and style."
8,Tribeca,3000000,5,4,3500,"Experience loft living in the trendy neighborhood of Tribeca with this 5-bedroom, 4-bathroom penthouse. The expansive living spaces feature exposed brick walls, high ceilings, and industrial accents. The gourmet kitchen boasts stainless steel appliances, a large island, and custom cabinetry. Retreat to the master suite with a spa-like bathroom and walk-in closet. Enjoy the private rooftop terrace with city views.","Tribeca is known for its converted warehouses, art galleries, and upscale dining. Explore the nearby Hudson River Park, boutiques, and cultural institutions. With easy access to downtown Manhattan and a vibrant arts scene, Tribeca offers a unique blend of history and modernity in the heart of New York City."
9,Malibu,5000000,8,7,6000,"Live the beachfront lifestyle in this 8-bedroom, 7-bathroom estate in Malibu. The grand foyer leads to the formal living and dining rooms with panoramic ocean views. The gourmet kitchen features top-of-the-line appliances, a large island, and a breakfast nook. Relax in the master suite with a fireplace, spa-like bathroom, and private balcony. Entertain guests in the backyard oasis with a pool, spa, and outdoor kitchen.","Malibu is a world-renowned beach destination, offering pristine sandy beaches, surfing spots, and celebrity homes. Enjoy the nearby hiking trails, wineries, and upscale shopping. With a laid-back coastal vibe and stunning natural beauty, Malibu is the epitome of California living."
